,year,price,total_run,tax,engineSize,mileage_lit,model_ I10,model_ I20,model_ I30,model_ I40,model_ I800,model_ IX20,model_ IX35,model_ Ioniq,model_ Kona,model_ Santa Fe,model_ Tucson,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fule_Diesel,fule_Hybrid,fule_Petrol
0,2017,7999,17307,145,1.2,15.56,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2016,14499,25233,235,2.0,11.49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2,2016,11399,37877,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3,2016,6499,23789,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,2015,10199,33177,160,2.0,13.58,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5,2015,6149,41650,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,2015,6799,39547,30,1.2,14.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,2016,14199,30300,125,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
8,2018,10399,38082,145,1.4,13.58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,2016,12163,21014,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
10,2017,13200,22888,150,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
11,2017,10000,20000,150,1.0,14.93,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,2015,6900,26413,30,1.2,14.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
13,2019,17750,10000,150,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
14,2017,14600,18626,125,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
15,2015,8700,31979,30,1.7,17.36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
16,2017,13000,26685,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
17,2018,7100,35000,145,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,2016,7500,6000,20,1.2,15.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
19,2017,12000,17059,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
20,2017,11695,49174,145,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
21,2015,7995,6413,30,1.2,14.64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22,2015,10700,34177,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
23,2016,8100,7447,30,1.2,15.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,2013,8200,34500,145,1.7,14.08,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
25,2016,6600,16751,30,1.2,15.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
26,2018,13900,16265,150,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
27,2018,13700,19087,145,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
28,2017,8300,38206,145,1.6,20.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29,2016,15800,20025,125,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
30,2018,15000,32227,135,1.6,20.74,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
35,2018,12995,7359,145,1.0,13.82,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
36,2019,18000,4353,145,1.6,9.33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
44,2017,14100,5067,145,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
56,2017,16800,21875,145,1.6,10.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
57,2016,6500,27465,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
58,2019,8600,4920,145,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
59,2016,9400,18577,145,1.4,12.87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
60,2013,6000,42320,145,1.4,12.05,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
66,2016,12300,21898,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
67,2016,6500,24740,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
68,2014,5500,20127,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
69,2018,15299,34103,145,2.5,8.88,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
70,2016,9000,21152,30,1.6,16.96,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
71,2017,7600,15618,145,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74,2019,19800,1963,135,1.6,20.74,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
78,2017,12000,2236,160,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
79,2018,9299,21859,145,1.0,14.93,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
80,2016,11599,31480,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
81,2017,7000,31696,145,1.2,15.24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
84,2016,8900,18257,0,1.6,20.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
85,2014,9800,35541,145,1.7,14.08,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
86,2015,6800,22211,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
87,2018,11531,35097,145,1.4,13.58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
88,2016,11400,27712,125,1.7,14.93,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
89,2016,7194,27696,125,1.4,13.31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
90,2015,6500,12731,30,1.2,15.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
91,2018,12556,20443,145,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
92,2014,5644,40248,20,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
93,2017,7799,21321,145,1.2,15.24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
94,2011,6936,72436,200,2.0,12.65,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
95,2018,9499,8418,145,1.2,12.65,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
96,2012,5000,119050,150,1.7,12.87,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
97,2018,9000,15804,145,1.0,15.24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
98,2017,13499,44749,145,2.5,8.88,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
99,2016,6000,23176,30,1.2,15.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
100,2018,8495,28889,145,1.2,12.65,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
101,2019,11995,3300,145,1.2,12.23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
102,2018,6350,31738,145,1.0,15.88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
103,2019,11795,5409,150,1.2,12.23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
104,2016,13300,25071,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
105,2018,13950,17427,150,1.6,11.83,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
106,2019,15600,8000,150,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
107,2016,12795,26804,30,1.7,16.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
110,2014,15500,37006,265,2.2,10.96,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
111,2019,15400,12254,150,1.6,9.22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
112,2016,8900,17350,145,1.4,12.87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
113,2017,14100,27299,145,1.7,15.22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
